Year,Revenue,Sales,Customers,Price
1990,178242791,2712554662,.,6.5710304
1991,186358705,2762003050,.,6.7472302
1992,188480315,2763365474,.,6.82068
1993,198220188,2861462336,.,6.9272339
1994,202705976,2934562867,.,6.9075356
1995,207716916,3013286575,.,6.8933675
1996,212608584,3101127032,.,6.8558489
1997,215334328,3145610430,.,6.8455498
1998,219848155,3264230749,.,6.7350678
1999,219896087,3312087083,.,6.6392
2000,233163397,3421414256,.,6.8148251
2001,247343101,3394458107,.,7.2866741
2002,249410510,3465466011,.,7.1970266
2003,259766854,3493734498,.,7.4352202
2004,270119217,3547479479,.,7.6143983
2005,298002811,3660968521,.,8.1399993
2006,326505965,3669918842,.,8.896817
2007,343702557,3764560731,117619554,9.1299512
2008,363583107,3733964624,143395691,9.7371867
2009,353289274,3596795150,143529126,9.8223351
2010,368918125,3754841377,144139862,9.8251321
2011,371049086,3749846184,144508982,9.8950482
2012,363687487,3694649791,145293583,9.8436254
2013,375057738,3724867821,146288214,10.069021
2014,393096410,3764700267,147373362,10.441639
2015,391341468,3758992390,148632855,10.410808
2016,386509044,3762461630,150055191,10.27277
2017,390322265,3723355974,151779385,10.483077
2018,406498314,3860118798,153340274,10.53072
2019,401738144,3811150463,154898041,10.541125
2020,390685982,3663741342,156771336,10.66358
2021,129107491,1185816334,157057035,10.887647
